story,requirement
US-01-01-20,REQ-01-01-20-01
US-01-01-20,REQ-01-01-20-02
US-01-01-20,REQ-01-01-20-03
US-01-01-21,REQ-01-01-21-01
US-01-01-21,REQ-01-01-21-02
US-02-01-01,REQ-00-00-00-04
US-02-01-01,REQ-00-00-00-08
US-02-01-01,REQ-01-01-01-01
US-02-01-01,REQ-01-01-01-02
US-02-01-02,REQ-00-00-00-06
US-02-01-02,REQ-01-01-02-01
US-02-01-02,REQ-01-01-02-02
US-02-01-02,REQ-01-01-02-03
US-02-01-03,REQ-00-00-00-01
US-02-01-03,REQ-00-00-00-06
US-02-01-03,REQ-01-01-03-01
US-02-01-03,REQ-01-01-03-02
US-02-01-03,REQ-02-01-03-01
US-02-01-04,REQ-00-00-00-01
US-02-01-04,REQ-00-00-00-04
US-02-01-04,REQ-00-00-00-06
US-02-01-04,REQ-01-01-04-01
US-02-01-04,REQ-01-01-04-02
US-02-01-04,REQ-01-01-04-03
US-02-01-04,REQ-01-01-04-04
US-02-01-04,REQ-01-01-04-05
US-02-01-05,REQ-00-00-00-04
US-02-01-05,REQ-00-00-00-05
US-02-01-05,REQ-00-00-00-06
US-02-01-05,REQ-01-01-05-01
US-02-01-05,REQ-01-01-05-02
US-02-01-05,REQ-01-01-05-03
US-02-01-06,REQ-00-00-00-01
US-02-01-06,REQ-00-00-00-11
US-02-01-06,REQ-02-01-06-01
US-02-01-06,REQ-02-01-06-02
US-02-01-06,REQ-02-01-06-03
US-02-01-07,REQ-00-00-00-05
US-02-01-07,REQ-00-00-00-06
US-02-01-07,REQ-00-00-00-09
US-02-01-07,REQ-01-01-13-01
US-02-01-07,REQ-01-01-13-02
US-02-01-08,REQ-00-00-00-08
US-02-01-08,REQ-01-01-06-01
US-02-01-08,REQ-01-01-06-02
US-02-01-08,REQ-01-01-06-03
US-02-01-09,REQ-00-00-00-01
US-02-01-09,REQ-00-00-00-06
US-02-01-09,REQ-00-00-00-13
US-02-01-09,REQ-02-01-09-01
US-02-01-09,REQ-02-01-09-02
US-02-01-09,REQ-02-01-09-03
US-02-01-10,REQ-00-00-00-09
US-02-01-10,REQ-02-01-10-01
US-02-01-10,REQ-02-01-10-02
US-02-01-10,REQ-02-01-10-03
US-02-01-10,REQ-02-01-10-04
US-02-01-11,REQ-00-00-00-01
US-02-01-11,REQ-00-00-00-06
US-02-01-11,REQ-02-01-11-01
US-02-01-11,REQ-02-01-11-02
US-02-01-11,REQ-02-01-11-03
US-02-01-12,REQ-02-01-12-01
US-02-01-12,REQ-02-01-12-02
US-02-01-12,REQ-02-01-12-03
US-02-01-12,REQ-02-01-12-04
US-03-01-01,REQ-00-00-00-01
US-03-01-01,REQ-00-00-00-04
US-03-01-01,REQ-00-00-00-06
US-03-01-01,REQ-01-01-04-01
US-03-01-01,REQ-01-01-04-02
US-03-01-01,REQ-01-01-04-03
US-03-01-01,REQ-01-01-04-04
US-03-01-01,REQ-01-01-04-05
US-03-01-02,REQ-00-00-00-01
US-03-01-02,REQ-03-01-02-01
US-03-01-02,REQ-03-01-02-02
US-03-01-02,REQ-03-01-02-03
US-03-01-02,REQ-03-01-02-04
US-03-01-03,REQ-00-00-00-01
US-03-01-03,REQ-00-00-00-03
US-03-01-03,REQ-01-01-08-01
US-03-01-03,REQ-01-01-08-02
US-03-01-03,REQ-01-01-08-03
US-03-01-04,REQ-00-00-00-01
US-03-01-04,REQ-03-01-04-01
US-03-01-04,REQ-03-01-04-02
US-03-01-04,REQ-03-01-04-03
US-03-01-05,REQ-00-00-00-03
US-03-01-05,REQ-00-00-00-06
US-03-01-05,REQ-03-01-05-01
US-03-01-05,REQ-03-01-05-02
US-03-01-05,REQ-03-01-05-03
US-03-01-05,REQ-03-01-05-04
US-03-01-05,REQ-03-01-05-05
US-03-01-06,REQ-00-00-00-03
US-03-01-06,REQ-03-01-06-01
US-03-01-06,REQ-03-01-06-02
US-03-01-06,REQ-03-01-06-03
US-03-01-06,REQ-03-01-06-04
US-03-01-07,REQ-00-00-00-01
US-03-01-07,REQ-03-01-07-01
US-03-01-07,REQ-03-01-07-02
US-03-01-08,REQ-00-00-00-01
US-03-01-08,REQ-00-00-00-03
US-03-01-08,REQ-00-00-00-06
US-03-01-09,REQ-03-01-09-01
US-03-01-09,REQ-03-01-09-02
US-03-01-10,REQ-03-01-10-01
US-03-01-10,REQ-03-01-10-02
US-03-01-10,REQ-03-01-10-03
US-03-01-11,REQ-03-01-11-01
US-03-01-11,REQ-03-01-11-02
US-03-01-11,REQ-03-01-11-03
US-04-01-01,REQ-00-00-00-03
US-04-01-01,REQ-00-00-00-06
US-04-01-01,REQ-04-01-01-01
US-04-01-01,REQ-04-01-01-02
US-04-01-01,REQ-04-01-01-03
US-04-01-01,REQ-04-01-01-04
US-04-01-01,REQ-04-01-01-05
US-04-01-02,REQ-00-00-00-03
US-04-01-02,REQ-00-00-00-07
US-04-01-02,REQ-00-00-00-13
US-04-01-02,REQ-00-00-00-14
US-04-01-02,REQ-01-01-07-01
US-04-01-02,REQ-01-01-07-02
US-04-01-02,REQ-01-01-07-03
US-04-01-03,REQ-00-00-00-06
US-04-01-03,REQ-04-01-03-01
US-04-01-03,REQ-04-01-03-02
US-04-01-03,REQ-04-01-03-03
US-04-01-03,REQ-04-01-03-04
US-04-01-03,REQ-04-01-03-05
US-04-01-03,REQ-04-01-03-06
US-04-01-03,REQ-04-01-03-07
US-04-01-03,REQ-04-01-03-08
US-04-01-04,REQ-00-00-00-02
US-04-01-04,REQ-00-00-00-03
US-04-01-04,REQ-00-00-00-06
US-04-01-04,REQ-00-00-00-10
US-04-01-04,REQ-01-01-14-01
US-04-01-05,REQ-00-00-00-02
US-04-01-05,REQ-00-00-00-03
US-04-01-05,REQ-00-00-00-06
US-04-01-05,REQ-00-00-00-12
US-04-01-05,REQ-04-01-05-01
US-04-01-05,REQ-04-01-05-02
US-04-01-05,REQ-04-01-05-03
US-04-01-05,REQ-04-01-05-04
US-04-01-06,REQ-00-00-00-01
US-04-01-06,REQ-00-00-00-06
US-04-01-07,REQ-00-00-00-02
US-04-01-07,REQ-00-00-00-03
US-04-01-07,REQ-00-00-00-06
US-04-01-07,REQ-04-01-07-01
US-04-01-07,REQ-04-01-07-02
US-04-01-08,REQ-00-00-00-02
US-04-01-08,REQ-04-01-08-01
US-04-01-08,REQ-04-01-08-02
US-04-01-08,REQ-04-01-08-03
US-04-01-09,REQ-01-01-15-01
US-04-01-09,REQ-01-01-15-02
US-04-01-09,REQ-01-01-15-03
US-04-01-09,REQ-01-01-15-04
US-04-01-10,REQ-00-00-00-01
US-04-01-10,REQ-00-00-00-02
US-04-01-10,REQ-00-00-00-03
US-04-01-10,REQ-04-01-10-01
US-04-01-10,REQ-04-01-10-02
US-04-01-11,REQ-00-00-00-01
US-04-01-11,REQ-00-00-00-06
US-04-01-11,REQ-01-01-16-01
US-04-01-11,REQ-01-01-16-02
US-04-01-11,REQ-01-01-16-03
US-04-01-12,REQ-00-00-00-03
US-04-01-12,REQ-04-01-12-01
US-04-01-12,REQ-04-01-12-02
US-04-01-12,REQ-04-01-12-03
US-04-01-12,REQ-04-01-12-04
US-04-01-13,REQ-04-01-13-01
US-04-01-13,REQ-04-01-13-02
US-04-01-13,REQ-04-01-13-03
US-04-01-14,REQ-04-01-14-01
US-04-01-14,REQ-04-01-14-02
US-04-01-14,REQ-04-01-14-03
US-04-01-14,REQ-04-01-14-04
US-04-01-14,REQ-04-01-14-05
US-04-01-15,REQ-04-01-15-01
US-04-01-15,REQ-04-01-15-02
US-04-01-16,REQ-04-01-16-01
US-04-01-17,REQ-04-01-17-01
US-04-01-17,REQ-04-01-17-02
US-04-01-17,REQ-04-01-17-03
US-04-01-18,REQ-04-01-18-01
US-04-01-18,REQ-04-01-18-02
US-05-01-01,REQ-00-00-00-06
US-05-01-01,REQ-01-01-02-01
US-05-01-01,REQ-01-01-02-02
US-05-01-01,REQ-01-01-02-03
US-05-01-02,REQ-00-00-00-03
US-05-01-02,REQ-00-00-00-06
US-05-01-02,REQ-04-01-01-02
US-05-01-02,REQ-04-01-01-03
US-05-01-02,REQ-04-01-01-04
US-05-01-02,REQ-04-01-01-05
US-05-01-02,REQ-05-01-02-01
US-05-01-03,REQ-00-00-00-01
US-05-01-03,REQ-00-00-00-05
US-05-01-03,REQ-01-01-10-01
US-05-01-03,REQ-01-01-10-02
US-05-01-03,REQ-01-01-10-03
US-05-01-04,REQ-00-00-00-01
US-05-01-04,REQ-00-00-00-06
US-05-01-04,REQ-00-00-00-13
US-05-01-05,REQ-00-00-00-02
US-05-01-05,REQ-00-00-00-03
US-05-01-05,REQ-00-00-00-06
US-05-01-05,REQ-00-00-00-10
US-05-01-05,REQ-01-01-14-01
US-05-01-06,REQ-00-00-00-01
US-05-01-06,REQ-00-00-00-11
US-05-01-07,REQ-00-00-00-03
US-05-01-07,REQ-00-00-00-06
US-05-01-08,REQ-00-00-00-01
US-05-01-08,REQ-00-00-00-03
US-05-01-08,REQ-05-01-08-01
US-05-01-08,REQ-05-01-08-02
US-05-01-08,REQ-05-01-08-03
US-05-01-09,REQ-00-00-00-01
US-05-01-09,REQ-00-00-00-06
US-05-01-10,REQ-00-00-00-01
US-05-01-10,REQ-00-00-00-04
US-05-01-10,REQ-05-01-10-01
US-05-01-10,REQ-05-01-10-02
US-05-01-10,REQ-05-01-10-03
US-05-01-11,REQ-00-00-00-01
US-05-01-11,REQ-00-00-00-06
US-05-01-11,REQ-01-01-16-01
US-05-01-11,REQ-01-01-16-02
US-05-01-11,REQ-01-01-16-03
US-05-01-12,REQ-05-01-12-01
US-05-01-12,REQ-05-01-12-02
US-05-01-12,REQ-05-01-12-03
US-05-01-13,REQ-00-00-00-02
US-05-01-13,REQ-00-00-00-03
US-05-01-13,REQ-00-00-00-06
US-05-01-13,REQ-04-01-07-01
US-05-01-13,REQ-04-01-07-02
US-05-01-14,REQ-00-00-00-01
US-05-01-14,REQ-00-00-00-02
US-05-01-14,REQ-00-00-00-03
US-05-01-14,REQ-04-01-10-01
US-05-01-14,REQ-04-01-10-02
US-05-01-15,REQ-05-01-15-01
US-05-01-15,REQ-05-01-15-02
US-05-01-15,REQ-05-01-15-03
US-06-01-01,REQ-00-00-00-06
US-06-01-01,REQ-01-01-02-01
US-06-01-01,REQ-01-01-02-02
US-06-01-01,REQ-01-01-02-03
US-06-01-02,REQ-00-00-00-03
US-06-01-02,REQ-00-00-00-06
US-06-01-02,REQ-04-01-01-02
US-06-01-02,REQ-04-01-01-03
US-06-01-02,REQ-04-01-01-04
US-06-01-02,REQ-04-01-01-05
US-06-01-02,REQ-06-01-02-01
US-06-01-03,REQ-00-00-00-04
US-06-01-03,REQ-00-00-00-05
US-06-01-03,REQ-00-00-00-06
US-06-01-03,REQ-01-01-05-01
US-06-01-03,REQ-01-01-05-02
US-06-01-03,REQ-01-01-05-03
US-06-01-04,REQ-00-00-00-01
US-06-01-04,REQ-00-00-00-06
US-06-01-04,REQ-00-00-00-13
US-06-01-05,REQ-00-00-00-06
US-06-01-05,REQ-04-01-03-01
US-06-01-05,REQ-04-01-03-02
US-06-01-05,REQ-04-01-03-03
US-06-01-05,REQ-04-01-03-04
US-06-01-05,REQ-04-01-03-05
US-06-01-05,REQ-04-01-03-06
US-06-01-05,REQ-04-01-03-07
US-06-01-05,REQ-04-01-03-08
US-06-01-06,REQ-00-00-00-09
US-06-01-07,REQ-01-01-11-01
US-06-01-07,REQ-01-01-11-02
US-06-01-07,REQ-01-01-11-03
US-06-01-07,REQ-01-01-11-04
US-06-01-07,REQ-01-01-11-05
US-06-01-08,REQ-00-00-00-01
US-06-01-08,REQ-00-00-00-06
US-06-01-09,REQ-00-00-00-01
US-06-01-09,REQ-00-00-00-11
US-06-01-10,REQ-00-00-00-01
US-06-01-10,REQ-00-00-00-04
US-06-01-10,REQ-01-01-12-01
US-06-01-10,REQ-01-01-12-02
US-06-01-10,REQ-01-01-12-03
US-06-01-11,REQ-04-01-13-01
US-06-01-11,REQ-04-01-13-02
US-06-01-11,REQ-04-01-13-03
US-07-01-01,REQ-00-00-00-01
US-07-01-01,REQ-00-00-00-03
US-07-01-01,REQ-01-01-08-01
US-07-01-01,REQ-01-01-08-02
US-07-01-01,REQ-01-01-08-03
US-07-01-02,REQ-00-00-00-01
US-07-01-03,REQ-00-00-00-01
US-07-01-04,REQ-00-00-00-03
US-07-01-04,REQ-00-00-00-06
US-07-01-05,REQ-00-00-00-01
US-07-01-06,REQ-00-00-00-01
US-07-01-06,REQ-00-00-00-03
US-07-01-06,REQ-00-00-00-06
US-07-01-07,REQ-00-00-00-03
US-07-01-07,REQ-04-01-12-01
US-07-01-07,REQ-04-01-12-02
US-07-01-07,REQ-04-01-12-03
US-08-01-01,REQ-00-00-00-01
US-08-01-01,REQ-00-00-00-04
US-08-01-01,REQ-00-00-00-06
US-08-01-01,REQ-00-00-00-08
US-08-01-01,REQ-08-01-01-01
US-08-01-01,REQ-08-01-01-02
US-08-01-02,REQ-00-00-00-03
US-08-01-02,REQ-00-00-00-06
US-08-01-02,REQ-04-01-01-02
US-08-01-02,REQ-04-01-01-03
US-08-01-02,REQ-04-01-01-04
US-08-01-02,REQ-04-01-01-05
US-08-01-02,REQ-08-01-02-01
US-08-01-03,REQ-00-00-00-01
US-08-01-03,REQ-00-00-00-06
US-08-01-03,REQ-01-01-03-01
US-08-01-03,REQ-01-01-03-02
US-08-01-03,REQ-01-01-03-03
US-08-01-04,REQ-00-00-00-01
US-08-01-04,REQ-00-00-00-04
US-08-01-04,REQ-00-00-00-06
US-08-01-04,REQ-01-01-04-01
US-08-01-04,REQ-01-01-04-02
US-08-01-04,REQ-01-01-04-03
US-08-01-04,REQ-01-01-04-04
US-08-01-04,REQ-01-01-04-05
US-08-01-05,REQ-00-00-00-04
US-08-01-05,REQ-00-00-00-05
US-08-01-05,REQ-00-00-00-06
US-08-01-05,REQ-01-01-05-01
US-08-01-05,REQ-01-01-05-02
US-08-01-05,REQ-01-01-05-03
US-08-01-05,REQ-08-01-05-01
US-08-01-06,REQ-00-00-00-01
US-08-01-06,REQ-00-00-00-08
US-08-01-06,REQ-01-01-06-01
US-08-01-06,REQ-01-01-06-02
US-08-01-06,REQ-01-01-06-03
US-08-01-07,REQ-00-00-00-01
US-08-01-07,REQ-00-00-00-03
US-08-01-07,REQ-05-01-08-01
US-08-01-07,REQ-05-01-08-02
US-08-01-07,REQ-05-01-08-03
US-08-01-08,REQ-00-00-00-03
US-08-01-08,REQ-00-00-00-07
US-08-01-08,REQ-00-00-00-13
US-08-01-08,REQ-00-00-00-14
US-08-01-08,REQ-01-01-07-01
US-08-01-08,REQ-01-01-07-02
US-08-01-08,REQ-01-01-07-03
US-08-01-09,REQ-00-00-00-01
US-08-01-09,REQ-00-00-00-04
US-08-01-09,REQ-05-01-10-01
US-08-01-09,REQ-05-01-10-02
US-08-01-09,REQ-05-01-10-03
US-08-01-10,REQ-00-00-00-01
US-08-01-10,REQ-00-00-00-05
US-08-01-10,REQ-01-01-10-01
US-08-01-10,REQ-01-01-10-02
US-08-01-10,REQ-01-01-10-03
US-08-01-11,REQ-00-00-00-02
US-08-01-11,REQ-00-00-00-03
US-08-01-11,REQ-00-00-00-06
US-08-01-11,REQ-00-00-00-10
US-08-01-11,REQ-01-01-14-01
US-08-01-12,REQ-05-01-12-01
US-08-01-12,REQ-05-01-12-02
US-08-01-12,REQ-05-01-12-03
US-08-01-13,REQ-00-00-00-02
US-08-01-13,REQ-00-00-00-03
US-08-01-13,REQ-00-00-00-06
US-08-01-13,REQ-00-00-00-12
US-08-01-13,REQ-04-01-05-01
US-08-01-13,REQ-04-01-05-02
US-08-01-13,REQ-04-01-05-03
US-08-01-13,REQ-04-01-05-04
US-08-01-14,REQ-00-00-00-09
US-08-01-15,REQ-00-00-00-02
US-08-01-15,REQ-04-01-08-01
US-08-01-15,REQ-04-01-08-02
US-08-01-15,REQ-04-01-08-03
US-08-01-16,REQ-00-00-00-03
US-08-01-16,REQ-00-00-00-06
US-08-01-17,REQ-01-01-15-01
US-08-01-17,REQ-01-01-15-02
US-08-01-17,REQ-01-01-15-03
US-08-01-17,REQ-01-01-15-04
US-08-01-18,REQ-01-01-09-01
US-08-01-18,REQ-01-01-09-02
US-08-01-18,REQ-01-01-09-03
US-08-01-18,REQ-01-01-09-04
US-08-01-18,REQ-01-01-09-05
US-08-01-18,REQ-01-01-09-06
US-08-01-19,REQ-00-00-00-03
US-08-01-20,REQ-00-00-00-01
US-08-01-20,REQ-00-00-00-06
US-08-01-20,REQ-01-01-16-01
US-08-01-20,REQ-01-01-16-02
US-08-01-20,REQ-01-01-16-03
US-08-01-21,REQ-00-00-00-01
US-08-01-21,REQ-00-00-00-02
US-08-01-21,REQ-00-00-00-03
US-08-01-21,REQ-04-01-10-01
US-08-01-21,REQ-04-01-10-02
US-08-01-22,REQ-00-00-00-01
US-08-01-22,REQ-00-00-00-03
US-08-01-22,REQ-00-00-00-06
US-08-01-23,REQ-00-00-00-05
US-08-01-23,REQ-00-00-00-06
US-08-01-23,REQ-00-00-00-09
US-08-01-23,REQ-01-01-13-01
US-08-01-23,REQ-01-01-13-02
